fact, name, valid_at
"CB is the AI co-pilot at Zer0Day Labs.", "IS_AI_CO_PILOT_AT", "2026-03-06T00:00:00Z[UTC]"
"Agent tools include agent-autopilot.", "INCLUDES", "2026-03-06T12:00:00Z"
"Agent tools include agent-orchestrator.", "INCLUDES", "2026-03-06T12:00:00Z"
"Agent tools include task-orchestra.", "INCLUDES", "2026-03-06T12:00:00Z"
"Agent tools include agent-autonomy.", "INCLUDES", "2026-03-06T12:00:00Z"
"Memory system uses daily logs.", "USES", "2026-03-06T12:00:00Z[UTC]"
"Memory system uses MEMORY.md curation.", "USES", "2026-03-06T12:00:00Z[UTC]"
"Heartbeat batching pattern reduces API calls by 60%.", "REDUCES_API_CALLS_BY", "2026-03-06T12:00:00Z"
"Slack is the preferred communication channel for user(user).", "PREFERRED_COMMUNICATION_CHANNEL", "2026-03-07T00:00:00Z"
"user(user) uses emoji reactions for acknowledgment.", "USES_FOR_ACKNOWLEDGMENT", "2026-03-07T00:00:00Z"
"user(user) stores API keys in a local vault for security.", "STORES_API_KEYS_IN", "2026-03-07T00:00:00Z"
"Task management uses Graphiti for facts, lessons, decisions - not routine updates.", "USES_FOR_FACTS_LESSONS_DECISIONS", "2026-03-07T12:00:00Z[UTC]"
"Ollama server at 192.168.0.143:11434 hosts qwen3.5:35b as primary model", "HOSTS_PRIMARY_MODEL", "2026-03-09T00:00:00Z[UTC]"
"Freqtrade dry-run bot on Kraken runs RsiMacD v8 strategy", "RUNS_ON", "2026-03-09T00:00:00Z"
"OpenClaw gateway running via systemd", "RUNS_VIA", "2026-03-09T00:00:00Z"
"qwen3.5:35b is the sole OpenClaw model on Ollama server.", "IS_SOLE_MODEL_OF", "2026-03-12T00:00:00Z[UTC]"
"Nemotron-3-nano failed as agent model due to slow prompt eval on large contexts.", "FAILED_AS_AGENT_MODEL", "2026-03-12T00:00:00Z"
"gpt-oss:20b failed as agent model due to slow prompt eval on large contexts.", "FAILED_AS_AGENT_MODEL", "2026-03-12T00:00:00Z"
"Freqtrade dry-run bot on Kraken running RsiMacD v8 hyperopt-tuned strategy.", "RUNS_ON", "2026-03-12T00:00:00Z"
"Freqtrade dry-run bot on Kraken running RsiMacD v8 hyperopt-tuned strategy.", "USES_STRATEGY", "2026-03-12T00:00:00Z"
"Graphiti knowledge graph was wiped and rebuilt on March 15 2026 due to Neo4j embedding dimension mismatch causing search failures.", "WAS_WIPED_AND_REBUILT_DUE_TO", "2026-03-15T00:00:00Z"
"Root cause was mixed vector dimensions from different embedding model versions causing Neo4j embedding dimension mismatch.", "WAS_ROOT_CAUSE_OF", "2026-03-15T00:00:00Z"
"OpenClaw updated from 2026.3.7 to 2026.3.11 on March 12.", "UPDATED_FROM_VERSION_TO_VERSION", "2026-03-12T00:00:00Z"
"Plugin API changed: registerTool handler property renamed to execute.", "PLUGIN_API_PROPERTY_RENAMED", "2026-03-12T00:00:00Z"
"Graphiti plugin patched accordingly to Plugin API change.", "PATCHED_ACCORDINGLY", "2026-03-12T00:00:00Z"
"Graphiti database rebuilt March 15 2026.", "REBUILT_ON", "2026-03-15T00:00:00Z"
"OpenClaw plugin patched: handler renamed to execute for v2026.3.11 compatibility.", "PATCHED_FOR_COMPATIBILITY_WITH", "2026-03-15T00:00:00Z"
"Graphiti knowledge graph was wiped and rebuilt on March 15, 2026 due to a Neo4j embedding dimension mismatch.", "WAS_WIPED_AND_REBUILT_DUE_TO", "2026-03-15T00:00:00Z[UTC]"
"assistant tracks heartbeat changes in Git", "TRACKS_CHANGES_IN", "2026-03-16T03:33:12Z[UTC]"
"assistant checks the network status", "CHECKS_STATUS_OF", "2026-03-16T03:33:12Z"
"Systems are stable and Git shows only heartbeat changes (tracking files).", "STABLE_STATUS", "2026-03-16T03:50:59Z"
"bootstrap-extra-files hook injects workspace .md files into agent context at session start", "INJECTS", "2026-03-16T05:03:04Z"
"bootstrap-extra-files hook is configured to inject CODING-GUIDE.md", "CONFIGURED_TO_INJECT", "2026-03-16T05:03:04Z"
"bootstrap-extra-files hook is configured to inject KNOWLEDGE-MAP.md", "CONFIGURED_TO_INJECT", "2026-03-16T05:03:04Z"
"bootstrap-extra-files hook is configured to inject LEARNING-PROTOCOL.md", "CONFIGURED_TO_INJECT", "2026-03-16T05:03:04Z"
"OpenClaw has the bootstrap-extra-files hook", "HAS_HOOK", "2026-03-16T05:03:04Z"
"AGENT CB established Self-learning protocol on March 15, 2026.", "ESTABLISHED_ON", "2026-03-15T00:00:00Z"
"AGENT CB checks KNOWLEDGE-MAP.md for gaps every 6th heartbeat as part of Self-learning protocol.", "CHECKS_FOR_GAPS_IN", "2026-03-15T00:00:00Z"
"AGENT CB stores facts in Graphiti with domain prefix format as part of Self-learning protocol.", "STORES_FACTS_IN", "2026-03-15T00:00:00Z"
"MusicGen (edmmusic.studio) is a Next.js app deployed on Vercel team zer0day.", "IS_DEPLOYED_ON", "2026-03-16T05:03:04Z"
"AudioStudio (audiostudio.ai) is a Next.js app deployed on Vercel team zer0day.", "IS_DEPLOYED_ON", "2026-03-16T05:03:04Z"
"Ringo is a Next.js app deployed on Vercel team zer0day.", "IS_DEPLOYED_ON", "2026-03-16T05:03:04Z"
"MusicGen uses Next.js.", "USES_TECHNOLOGY", "2026-03-16T05:03:04Z"
"AudioStudio uses Next.js.", "USES_TECHNOLOGY", "2026-03-16T05:03:04Z"
"Ringo uses Next.js.", "USES_TECHNOLOGY", "2026-03-16T05:03:04Z"
"MusicGen uses TypeScript.", "USES_TECHNOLOGY", "2026-03-16T05:03:04Z"
"AudioStudio uses TypeScript.", "USES_TECHNOLOGY", "2026-03-16T05:03:04Z"
"Ringo uses TypeScript.", "USES_TECHNOLOGY", "2026-03-16T05:03:04Z"
"MusicGen uses Prisma ORM.", "USES_TECHNOLOGY", "2026-03-16T05:03:04Z"
"AudioStudio uses Prisma ORM.", "USES_TECHNOLOGY", "2026-03-16T05:03:04Z"
"Ringo uses Prisma ORM.", "USES_TECHNOLOGY", "2026-03-16T05:03:04Z"
"MusicGen uses Tailwind CSS.", "USES_TECHNOLOGY", "2026-03-16T05:03:04Z"
"AudioStudio uses Tailwind CSS.", "USES_TECHNOLOGY", "2026-03-16T05:03:04Z"
"Ringo uses Tailwind CSS.", "USES_TECHNOLOGY", "2026-03-16T05:03:04Z"
"MusicGen uses Stripe for payments.", "USES_TECHNOLOGY", "2026-03-16T05:03:04Z"
"AudioStudio uses Stripe for payments.", "USES_TECHNOLOGY", "2026-03-16T05:03:04Z"
"Ringo uses Stripe for payments.", "USES_TECHNOLOGY", "2026-03-16T05:03:04Z"
"Freqtrade hyperopt uses Optuna backend.", "USES_BACKEND", "2026-03-16T05:03:04Z"
"Freqtrade hyperopt can be run with docker command.", "RUNS_WITH_COMMAND", "2026-03-16T05:03:04Z"
"Freqtrade hyperopt runs with strategy RsiMacD.", "USES_STRATEGY", "2026-03-16T05:03:04Z"
"Freqtrade hyperopt uses SharpeHyperOptLoss as hyperopt-loss.", "USES_HYPEROPT_LOSS", "2026-03-16T05:03:04Z"
"FreeSWITCH is used in the EventVikings predictive dialer project.", "USED_IN_PROJECT", "2026-03-16T05:03:04Z"
"Agent Team is currently working on Task 53 - Microsoft 365 OAuth Setup", "WORKS_ON", "2026-03-16T05:38:01Z"
"Task 53 - Microsoft 365 OAuth Setup has installed tool @pnp/cli-microsoft365@11.5.0", "USES_TOOL", "2026-03-16T05:38:01Z"
"Task 53 - Microsoft 365 OAuth Setup is documented in MICROSOFT-365-SETUP-2026-03-15.md", "DOCUMENTED_IN", "2026-03-16T05:38:01Z"
"Task 53 - Microsoft 365 OAuth Setup requires action from Lauro to choose authentication method and complete setup", "REQUIRES_ACTION_FROM", "2026-03-16T05:38:01Z"
"Agent Team is currently working on Task 55 - Fix Graphiti Knowledge Graph", "WORKS_ON", "2026-03-16T05:38:01Z[UTC]"
"Task 55 - Fix Graphiti Knowledge Graph has issue Neo4j embedding dimension mismatch", "HAS_ISSUE", "2026-03-16T05:38:01Z"
"Task 55 - Fix Graphiti Knowledge Graph fix is documented in scripts/graphiti-fix-plan.md", "DOCUMENTED_IN", "2026-03-16T05:38:01Z"
"Milestone 2026-03-15: Graphiti knowledge graph fixed", "FIXED_BY", "2026-03-15T00:00:00Z"
"database was wiped and rebuilt due to Neo4j embedding dimension mismatch", "WIPED_AND_REBUILT_DUE_TO", "2026-03-15T00:00:00Z"
"Graphiti knowledge graph search endpoint now operational", "HAS_OPERATIONAL_SEARCH_ENDPOINT", "2026-03-15T00:00:00Z"
"Graphiti knowledge graph was fixed by Lauro", "FIXED_BY", "2026-03-16T05:40:57Z"
"Neo4j embedding dimension mismatch was fixed to restore Graphiti knowledge graph", "FIXED", "2026-03-16T05:40:57Z"
"Search endpoint works for Graphiti knowledge graph", "WORKS_FOR", "2026-03-16T05:40:57Z"
"Task 55 - Fix Graphiti knowledge graph was completed by Lauro", "COMPLETED_BY", "2026-03-16T05:40:57Z"
"Agent Team includes Task 8 - Complete Graphiti Phase 2", "INCLUDES_TASK", "2026-03-16T05:40:57Z"
"Agent Team includes Task 60 - Complete Graphiti Phase 2", "INCLUDES_TASK", "2026-03-16T05:40:57Z"
"Agent Team includes Microsoft 365 OAuth task", "INCLUDES_TASK", "2026-03-16T05:40:57Z"
"assistant will run the health checks", "RUNS_HEALTH_CHECKS_ON", "2026-03-16T08:26:58Z"
"assistant will run the health checks on all specified services", "RUNS_HEALTH_CHECKS_ON", "2026-03-16T08:26:58Z"
"MusicGen (edmmusic.studio) is deployed on Vercel", "DEPLOYS_ON", "2026-03-16T11:42:21Z[UTC]"
"AudioStudio is deployed on Vercel", "DEPLOYS_ON", "2026-03-16T11:42:21Z[UTC]"
"Railway auth verified by assistant (support@zer0daylabs.com)", "AUTH_VERIFIED_BY", "2026-03-16T11:42:21Z[UTC]"
"Vercel auth configured by assistant (support-9645)", "AUTH_CONFIGURED_BY", "2026-03-16T11:42:21Z[UTC]"
"assistant checks Graphiti connectivity", "CHECKS_CONNECTIVITY_VIA", "2026-03-16T12:27:05Z[UTC]"
"assistant checks Graphiti connectivity via the root endpoint", "CHECKS_VIA", "2026-03-16T12:27:05Z"
"assistant verifies Neo4j", "CHECKS_STATUS_OF", "2026-03-16T12:27:05Z[UTC]"
"assistant tests the Graphiti healthcheck endpoint", "TESTS_ENDPOINT", "2026-03-16T12:27:05Z[UTC]"
"Open-Meteo API provides weather data for Phoenix", "PROVIDES_WEATHER_DATA_FOR", "2026-03-16T00:00:00Z"
"MusicGen is deployed on Vercel team zer0day", "MEMBER_OF_TEAM", "2026-03-16T00:00:00Z"
"AudioStudio is deployed on Vercel team zer0day", "MEMBER_OF_TEAM", "2026-03-16T00:00:00Z"
"GitHub - zer0daylabs repo access requires login", "REQUIRES_LOGIN_FOR_ACCESS", "2026-03-16T00:00:00Z"
"GOG is not configured to provide calendar and inbox data", "NOT_CONFIGURED_FOR_DATA", "2026-03-16T00:00:00Z"
"assistant fixes the GraphQL query", "FIXES", "2026-03-16T15:20:26Z"
"The pricing A/B test framework requires PostHog API access to run real analysis", "REQUIRES_API_ACCESS", "2026-03-16T16:20:51Z[UTC]"
"The pricing A/B test framework requires Stripe API access to run real analysis", "REQUIRES_API_ACCESS", "2026-03-16T16:20:51Z[UTC]"
"The pricing A/B test framework task is blocked due to lack of PostHog/Stripe API access", "TASK_BLOCKED_BY", "2026-03-16T16:20:51Z[UTC]"
"The assistant moved focus to Task #62 - Analyze Freqtrade bot performance", "TASK_FOCUS", "2026-03-16T16:20:51Z[UTC]"
"Freqtrade is running in dry-run mode", "RUNNING_MODE", "2026-03-16T16:20:51Z[UTC]"
"The assistant is checking the trade history of Freqtrade via the webserver API", "CHECKS_VIA", "2026-03-16T16:20:51Z[UTC]"
"The assistant is checking the trade history of Freqtrade via the database", "CHECKS_VIA", "2026-03-16T16:20:51Z[UTC]"
"Freqtrade RsiMacD strategy was analyzed by user(user) with 41 trades, 48.78% win rate, and -0.11% ROI.", "ANALYZED_BY", "2026-03-16T17:20:05Z"
"pricing A/B test framework task is blocked due to lack of PostHog API access", "IS_BLOCKED_BY", "2026-03-16T17:20:27Z[UTC]"
"pricing A/B test framework task is blocked due to lack of Stripe API access", "IS_BLOCKED_BY", "2026-03-16T17:20:27Z[UTC]"
"Freqtrade is running in dry-run mode", "RUNS_IN_MODE", "2026-03-16T17:20:27Z[UTC]"
"Freqtrade uses the webserver API to check trade history", "USES_API", "2026-03-16T17:20:27Z[UTC]"
"Freqtrade uses the database to check trade history", "USES_API", "2026-03-16T17:20:27Z[UTC]"
"Graphiti auto-logging operational: All heartbeat #3 actions logged to knowledge graph", "LOGS_TO", "2026-03-16T18:17:59Z"
"heartbeat #3 actions include resource snapshot", "INCLUDES", "2026-03-16T18:17:59Z"
"heartbeat #3 actions include Freqtrade analysis", "INCLUDES", "2026-03-16T18:17:59Z"
"heartbeat #3 actions include task status updates", "INCLUDES", "2026-03-16T18:17:59Z"
"Freqtrade is running in dry-run mode for Task #62 - Analyze Freqtrade bot performance.", "IS_RUNNING_IN_MODE", "2026-03-16T18:18:51Z[UTC]"
"Task #62 - Analyze Freqtrade bot performance uses the webserver API to check trade history.", "USES", "2026-03-16T18:18:51Z[UTC]"
"Task #62 - Analyze Freqtrade bot performance uses the database to check trade history.", "USES", "2026-03-16T18:18:51Z[UTC]"
"Agent orchestration tested: Layer 1-4 pattern verified (agent-autonomy → agent-autopilot → agent-orchestrator → task-orchestra).", "TESTED", "2026-03-16T19:19:17Z"
"Layer 1-4 pattern includes agent-autonomy.", "INCLUDES", "2026-03-16T19:19:17Z"
"Layer 1-4 pattern includes agent-autopilot.", "INCLUDES", "2026-03-16T19:19:17Z"
"Layer 1-4 pattern includes agent-orchestrator.", "INCLUDES", "2026-03-16T19:19:17Z"
"Layer 1-4 pattern includes task-orchestra.", "INCLUDES", "2026-03-16T19:19:17Z"
"Agent orchestration validated Sub-agent workspace structure.", "VALIDATED_STRUCTURE_CONTAINS", "2026-03-16T19:19:17Z"
"Sub-agent workspace structure contains SKILL.md.", "CONTAINS", "2026-03-16T19:19:17Z"
"Sub-agent workspace structure contains inbox/.", "CONTAINS", "2026-03-16T19:19:17Z"
"Sub-agent workspace structure contains outbox/.", "CONTAINS", "2026-03-16T19:19:17Z"
"Sub-agent workspace structure contains status.json.", "CONTAINS", "2026-03-16T19:19:17Z"
"All patterns documented in memory/orchestration-test-results.md.", "DOCUMENTED_IN", "2026-03-16T19:19:17Z"
"Task #62 - Analyze Freqtrade bot performance replaces the pricing A/B test framework task due to blocking", "REPLACES", "2026-03-16T19:19:50Z[UTC]"
"Technical debt audit found MusicGen has 35 outdated packages.", "HAS_OUTDATED_PACKAGES", "2026-03-16T00:00:00Z"
"Technical debt audit found AudioStudio has 40 outdated packages.", "HAS_OUTDATED_PACKAGES", "2026-03-16T00:00:00Z"
"Technical debt audit identified next.js needs upgrade from version 14 to 16.", "REQUIRES_UPGRADE", "2026-03-16T00:00:00Z"
"Technical debt audit identified react needs upgrade from version 18 to 19.", "REQUIRES_UPGRADE", "2026-03-16T00:00:00Z"
"Technical debt audit identified stripe needs upgrade from version 14 to 20.", "REQUIRES_UPGRADE", "2026-03-16T00:00:00Z"
"Task #62 - Analyze Freqtrade bot performance analyzes Freqtrade", "ANALYZED_BY", "2026-03-16T20:20:47Z[UTC]"
"The sub-agent was aborted by the assistant.", "SUB_AGENT_ABORTED_BY_ASSISTANT", "2026-03-16T20:27:50Z[UTC]"
"The assistant runs the checks directly with exec", "CHECKS_RUN_BY_ASSISTANT_USING_EXEC", "2026-03-16T20:28:11Z"
"OAuth JWT is configured", "CONFIGURED_WITH", "2026-03-16T21:22:01Z"
"bcrypt is configured", "CONFIGURED_WITH", "2026-03-16T21:22:01Z"
"Stripe API is outdated (v2023-10-16)", "OUTDATED_VERSION", "2026-03-16T00:00:00Z"
"rate limiting is missing", "MISSING_FEATURE", "2026-03-16T21:22:01Z"
"access controls are present", "PRESENT_ON", "2026-03-16T21:22:01Z"
"Stripe SDK needs update", "NEEDS_UPDATE", "2026-03-16T21:22:01Z"
"webhooks need audit", "NEEDS_AUDIT", "2026-03-16T21:22:01Z"
"user(user) created API documentation", "CREATED", "2026-03-16T00:00:00Z"
"API documentation includes authentication", "DOCUMENTS_AUTHENTICATION", "2026-03-16T00:00:00Z"
"API documentation includes all endpoints (auth, generate, library, credits, subscription)", "DOCUMENTS_ENDPOINTS", "2026-03-16T00:00:00Z"
"API documentation includes auth endpoint", "DOCUMENTS_AUTH_ENDPOINT", "2026-03-16T00:00:00Z"
"API documentation includes generate endpoint", "DOCUMENTS_GENERATE_ENDPOINT", "2026-03-16T00:00:00Z"
"API documentation includes library endpoint", "DOCUMENTS_LIBRARY_ENDPOINT", "2026-03-16T00:00:00Z"
"API documentation includes credits endpoint", "DOCUMENTS_CREDITS_ENDPOINT", "2026-03-16T00:00:00Z"
"API documentation includes subscription endpoint", "DOCUMENTS_SUBSCRIPTION_ENDPOINT", "2026-03-16T00:00:00Z"
"API documentation includes rate limits", "DOCUMENTS_RATE_LIMITS", "2026-03-16T00:00:00Z"
"API documentation includes error responses", "DOCUMENTS_ERROR_RESPONSES", "2026-03-16T00:00:00Z"
"API documentation includes SDK examples (JS/Python)", "DOCUMENTS_SDK_EXAMPLES", "2026-03-16T00:00:00Z"
"API documentation includes JavaScript SDK example", "DOCUMENTS_JAVASCRIPT_SDK_EXAMPLE", "2026-03-16T00:00:00Z"
"API documentation includes Python SDK example", "DOCUMENTS_PYTHON_SDK_EXAMPLE", "2026-03-16T00:00:00Z"
"API documentation includes webhooks", "DOCUMENTS_WEBHOOKS", "2026-03-16T00:00:00Z"
"API documentation includes versioning", "DOCUMENTS_VERSIONING", "2026-03-16T00:00:00Z"
"API documentation saved to docs/MusicGen-API-Documentation-2026-03-16.md", "SAVED_TO", "2026-03-16T00:00:00Z"
"The assistant marked the pricing A/B test framework task as skipped and moved to Task #62 - Analyze Freqtrade bot performance.", "IS_SKIPPED_FOR", "2026-03-16T23:19:55Z[UTC]"
"Ollama models verified (10 models loaded including qwen3.5:35b)", "INCLUDES_MODEL", "2026-03-17T00:27:09Z"
